ID,Agent,Document,Topic,Question,Expected_Answer,Generated_Answer,Accuracy,Faithfulness,Groundedness,Relevance,Completeness,Hallucination,Overall_Score,Confidence,Source,Executed_Agent,Response_Time(sec)
RAG014,RAG,Compliance_Manual.pdf,Retention,How long are medical records retained?,10 years.,Medical records must be retained for **10 years**.,10,10,10,10,10,10,10,100%,RAG,RAG,15.63
RAG015,RAG,Compliance_Manual.pdf,Audit,When should audit observations be closed?,Within 30 days.,Audit observations should be closed within 30 days.,10,10,10,10,10,10,10,100%,RAG,RAG,15.46
RAG016,RAG,Compliance_Manual.pdf,Patient Rights,Name key patient rights.,"Privacy, confidentiality, informed consent, respectful treatment and access to information.","- Right to privacy  
- Right to confidentiality  
- Right to informed consent  
- Right to access medical information  
- Right to respectful treatment",10,10,10,10,10,10,10,98%,RAG,RAG,17.99
RAG017,RAG,Admission_Process_SOP.pdf,Bed Allocation,Who coordinates bed allocation?,Admission Department in coordination with Nursing.,"The Admission Department, in coordination with Nursing and Operations, coordinates bed allocation.",10,10,10,10,9,10,10,98%,RAG,RAG,16.7
RAG018,RAG,Admission_Process_SOP.pdf,Consent,Which procedures need separate consent?,"Surgery, blood transfusion, ICU admission, high-risk procedures and anaesthesia.","Separate consent is required for:

- Surgery  
- Blood transfusion  
- ICU admission  
- High‑risk procedures  
- Anesthesia",10,10,10,10,10,10,10,98%,RAG,RAG,17.38
RAG019,RAG,Hospital_Operations_SOP.pdf,Escalation,Who is the first escalation level?,Insurance Desk Executive.,The first escalation level is Level 1 – the Insurance Desk Executive.,9,9,9,10,6,10,9,92%,RAG,RAG,17.2
RAG021,RAG,Discharge_Summary.pdf,Discharge,What should a discharge summary contain?,"Diagnosis, procedures, treatment, medications and follow-up instructions.","**Discharge summary should contain**

- **Patient details:** name, UHID, age, gender  
- **Clinical information:** admission diagnosis, final diagnosis, procedures performed, treatment given  
- **Outcome:** condition at discharge, medication instructions, follow‑up plan  
- **Authentication:** consultant’s signature and hospital seal",10,10,10,10,10,10,10,100%,RAG,RAG,14.81
RAG022,RAG,Discharge_Summary.pdf,Medication,What medication information is included at discharge?,"Medicine names, dosage and instructions.",The discharge summary provides **medication advice** as part of the outcome information.,10,10,10,10,10,10,10,98%,RAG,RAG,14.76
RAG023,RAG,Discharge_Summary.pdf,Follow-up,Does the discharge summary include follow-up advice?,Yes.,"Yes, the discharge summary includes follow‑up instructions.",8,9,9,10,10,8,9,90%,RAG,RAG,18.51
RAG024,RAG,Compliance_Manual.pdf,Security,Which regulations govern patient data privacy?,Digital Personal Data Protection Act and IRDAI guidelines.,"The primary regulations that govern patient‑data privacy are:

- Digital Personal Data Protection Act (India)  
- IRDAI Guidelines  
- Hospital information‑security policies.",10,10,10,10,10,10,10,98%,RAG,RAG,17.12
RAG025,RAG,Hospital_Operations_SOP.pdf,Cashless,When should Medi Assist be notified for emergency admission?,Within 24 hours of admission.,Notify Medi Assist within 24 hours of the emergency admission.,10,10,10,10,9,10,10,98%,RAG,RAG,19.07
